n,data,codice_regione,nome_corretto,complessivo_numero_asseverazioni,complessivo_totale_investimenti_amessi,complessivo_importo_lavori_ammessi,edifici_condomini_numero_asseverazioni,edifici_condomini_totale_investimenti_amessi,edifici_condomini_importo_lavori_ammessi,edifici_unifamiliari_numero_asseverazioni,edifici_unifamiliari_totale_investimenti_amessi,edifici_unifamiliari_importo_lavori_ammessi,unita_indipendenti_numero_asseverazioni,unita_indipendenti_totale_investimenti_amessi,unita_indipendenti_importo_lavori_ammessi,castelli_aperti_numero_asseverazioni,castelli_aperti_totale_investimenti_amessi,castelli_aperti_importo_lavori_ammessi,nome_sorgente
1,2021-08-31,13,Abruzzo,970,185779208.58,119941427.75,201,112572383.77,64196638.98,431,42126870.02,32134402.59,338,31079954.79,23610386.18,,,,Abruzzo
2,2021-08-31,17,Basilicata,413,105842766.88,67598977.06,147,79448227.88,48000866.84,180,18877165.93,14483132.16,86,7517373.07,5114978.06,,,,Basilicata
3,2021-08-31,18,Calabria,1638,249065403.49,173767446.65,204,109597815.43,63296137.16,864,85085054.29,69452237.87,570,54382533.77,41019071.62,,,,Calabria
4,2021-08-31,15,Campania,2447,468757188.65,297681576.11,481,276322113.32,157022144.23,1436,140977605.49,104928761.40,530,51457469.84,35730670.48,,,,Campania
5,2021-08-31,08,Emilia-Romagna,2861,464064927.02,349111789.25,456,258404960.54,185302900.65,1294,116172579.48,90267355.04,1111,89487387.00,73541533.56,,,,Emilia-Romagna
6,2021-08-31,06,Friuli-Venezia Giulia,907,116309494.39,77804987.10,84,50061820.96,27296563.31,519,45001126.03,34353142.77,304,21246547.40,16155281.02,,,,Friuli-Venezia Giulia
7,2021-08-31,12,Lazio,3704,560125884.44,362365637.33,414,257490631.99,135018747.88,1744,170344844.15,127771353.53,1546,132290408.30,99575535.92,,,,Lazio
8,2021-08-31,07,Liguria,356,52905474.36,32693143.23,65,26182848.76,13889688.12,174,16940283.96,11965065.95,117,9782341.64,6838389.16,,,,Liguria
9,2021-08-31,03,Lombardia,5116,857875789.17,616455605.48,724,420668694.41,269166979.22,2270,236130336.44,186680834.27,2122,201076758.32,160607791.99,,,,Lombardia
10,2021-08-31,11,Marche,874,161544998.75,111427744.38,205,101224433.12,64396962.64,390,37311082.33,29311283.84,279,23009483.30,17719497.90,,,,Marche
11,2021-08-31,14,Molise,251,39952631.89,27043906.42,35,16335049.99,10405003.64,109,13284832.36,9195349.53,107,10332749.54,7443553.25,,,,Molise
12,2021-08-31,01,Piemonte,2369,369844660.50,247788621.28,355,178074742.86,109265484.88,1433,145910545.55,104896810.41,581,45859372.09,33626325.99,,,,Piemonte
13,2021-08-31,16,Puglia,2372,325973027.88,216562963.52,178,120651959.25,59307049.13,1729,162923973.02,125477362.50,465,42397095.61,31778551.89,,,,Puglia
14,2021-08-31,20,Sardegna,1223,181104783.59,120116471.25,84,58220363.29,32904256.62,814,89101820.44,63467403.89,325,33782599.86,23744810.74,,,,Sardegna
15,2021-08-31,19,Sicilia,2751,397370960.56,268102690.44,312,163555195.65,88080832.15,1816,176861267.51,136521078.94,623,56954497.40,43500779.35,,,,Sicilia
16,2021-08-31,09,Toscana,3095,398031473.03,279666177.01,312,149923917.79,90244213.50,1353,129946495.72,96852141.86,1430,118161059.52,92569821.65,,,,Toscana
17,2021-08-31,04,Trentino-Alto Adige/Südtirol,419,91758551.09,54672565.30,152,67421069.48,36675858.09,167,16093753.40,12167849.03,100,8243728.21,5828858.18,,,,Trentino-Alto-Adige
18,2021-08-31,10,Umbria,667,88094746.76,65884384.08,98,34527880.34,24559050.08,334,32391681.25,26039751.13,235,21175185.17,15285582.87,,,,Umbria
19,2021-08-31,02,Valle d'Aosta/Vallée d'Aoste,67,11938673.55,8709370.69,32,8665708.91,6282670.80,26,2561041.95,1883916.74,9,711922.69,542783.15,,,,Valle d'Aosta
20,2021-08-31,05,Veneto,4628,558795754.61,413065939.93,305,161244434.21,100585535.76,1989,196048792.54,151223661.29,2334,201502527.86,161256742.88,,,,Veneto
1,2021-09-30,13,Abruzzo,1240,252138459.15,160022183.90,264,155331783.73,87200387.97,552,56033650.33,41701408.52,424,40773025.09,31120387.41,,,,Abruzzo
2,2021-09-30,17,Basilicata,515,143459614.39,92080987.00,189,108523285.11,67215408.80,216,23766884.44,17959943.67,110,11169444.84,6905634.53,,,,Basilicata
3,2021-09-30,18,Calabria,1972,326961369.83,219885238.01,271,150043278.36,83835612.20,1059,109024100.63,88681712.85,642,67893990.84,47367912.96,,,,Calabria
4,2021-09-30,15,Campania,3064,627491269.59,393451210.59,635,375852901.84,213377175.11,1754,179238595.08,132832641.50,675,72399772.67,47241393.98,,,,Campania
5,2021-09-30,08,Emilia-Romagna,3550,617820218.47,450724045.22,622,354726326.18,246258246.15,1602,151095362.46,116009424.22,1326,111998529.83,88456374.85,,,,Emilia-Romagna
6,2021-09-30,06,Friuli-Venezia Giulia,1156,153947600.34,102042532.77,105,64244881.01,33411558.51,670,59779333.19,47366823.89,381,29923386.14,21264150.37,,,,Friuli-Venezia Giulia
7,2021-09-30,12,Lazio,4583,746540524.43,480205789.10,556,359579315.33,191567133.70,2167,220715046.34,164843169.18,1860,166246162.76,123795486.22,,,,Lazio
8,2021-09-30,07,Liguria,445,68041786.86,42583546.19,82,32129437.19,17408915.05,221,22222528.76,16162328.55,142,13689820.91,9012302.59,,,,Liguria
9,2021-09-30,03,Lombardia,6384,1127015061.40,806810481.51,938,561638404.54,364848112.93,2796,299174856.97,237564279.58,2650,266201799.89,204398089.00,,,,Lombardia
10,2021-09-30,11,Marche,1076,213306254.45,142896360.89,271,137167492.01,85738045.95,472,47233564.27,35735442.84,333,28905198.17,21422872.10,,,,Marche
11,2021-09-30,14,Molise,313,52833139.53,34801936.65,48,22383879.95,13962231.69,138,17299372.30,11917685.92,127,13149887.28,8922019.04,,,,Molise
12,2021-09-30,01,Piemonte,2957,487953316.55,324817225.98,462,240349354.14,146950609.47,1783,188033642.02,135458056.55,712,59570320.39,42408559.96,,,,Piemonte
13,2021-09-30,16,Puglia,2980,429531723.64,288544374.15,249,162559384.73,85514244.66,2159,211981893.48,162582927.52,572,54990445.43,40447201.97,,,,Puglia
