name,posti regolamentari,posti non disponibili,totale detenuti
MII152284,535,0,689
MII157783,138,89,43
MII158895,702,232,1072
MII158901,89,7,113
MII158910,283,25,356
MII158919,233,22,205
MII158924,265,2,377
MII158935,156,0,87
MII158941,256,0,336
MII158944,100,0,86
MII158945,176,50,88
MII158948,108,85,42
MII159053,263,16,321
MII159060,58,0,91
MII159065,103,4,131
MII159069,205,1,249
MII159314,364,22,566
MII160204,259,8,387
MII169535,295,6,525
MII172011,500,24,515
MII172187,254,20,255
MII172208,357,46,550
MII172222,387,82,206
MII172277,52,1,85
MII172320,240,13,427
MII172332,394,4,514
MII172344,1267,6,1412
MII172508,503,21,842
MII172580,88,0,118
MII172592,182,0,378
MII172610,71,1,113
MII172623,152,33,199
MII172814,181,13,141
MII172827,319,1,589
MII172835,561,0,759
MII173006,541,164,426
MII173063,183,0,223
MII173088,106,11,170
MII173101,562,28,483
MII173114,200,73,230
MII173237,191,42,99
MII173259,44,0,70
MII173265,122,1,181
MII173285,136,5,189
MII173301,279,0,420
MII173311,682,58,659
MII173324,99,0,125
MII173341,220,12,276
MII173356,52,0,66
MII173364,79,0,134
MII173688,144,52,88
MII173712,226,3,447
MII173747,394,10,580
MII173764,433,53,388
MII173784,54,0,49
MII173813,167,11,206
MII173994,89,0,84
MII174501,43,0,55
MII174686,244,0,396
MII174720,497,135,530
MII174825,91,14,106
MII176375,364,19,645
MII176403,144,12,152
MII176414,136,0,107
MII176424,182,81,90
MII176437,517,55,585
MII176451,48,0,73
MII176703,96,11,142
MII176714,58,7,70
MII176719,53,0,73
MII176743,15,0,30
MII176749,53,0,76
MII176759,44,0,64
MII176771,130,23,78
MII176781,195,6,263
MII176788,151,48,123
MII177107,223,0,257
MII177118,33,0,27
MII177134,228,6,172
MII177323,119,24,153
MII177332,77,0,134
MII177346,37,0,48
MII177384,50,0,5
MII177420,798,50,1236
MII177436,53,0,82
MII177463,391,211,254
MII177498,89,0,76
MII177996,86,0,125
MII178003,292,122,122
MII178027,45,3,81
MII178035,63,22,79
MII178045,135,0,170
MII178072,97,3,157
MII178085,174,8,231
MII178115,48,0,46
MII178124,132,7,184
MII178141,126,0,181
MII178148,302,84,219
MII178501,46,1,81
MII178638,372,3,563
MII178659,411,3,715
MII178666,1624,266,2150
MII178672,1142,14,1474
MII178681,176,0,149
MII178700,156,0,172
MII179224,378,105,199
MII179237,918,18,1308
MII179274,264,2,230
MII179280,98,0,116
MII179290,188,8,235
MII179299,438,63,551
MII179306,1165,9,1425
MII179324,569,34,529
MII179331,153,1,66
MII179342,141,0,177
MII179353,181,27,193
MII179364,655,37,739
MII179733,341,0,346
MII179781,363,55,461
MII179818,156,1,249
MII179830,276,4,455
MII179842,416,17,529
MII179856,49,1,74
MII179876,189,1,179
MII179896,76,1,65
MII179913,37,0,50
MII179932,334,31,327
MII179938,110,58,95
MII179945,98,98,0
MII179958,589,3,617
MII179965,196,13,201
MII179981,49,0,85
MII179988,294,8,346
MII179995,180,12,198
MII180001,118,0,144
MII180348,272,7,379
MII180356,172,40,80
MII180370,1170,113,1566
MII180380,445,149,284
MII180401,628,62,1085
MII180415,263,0,308
MII180424,211,2,246
MII180426,376,3,592
MII180437,424,0,357
MII180451,135,1,112
MII180458,243,20,320
MII180465,223,2,263
MII180476,61,0,82
MII180487,818,125,957
MII181079,124,7,171
MII181091,454,1,540
MII181109,73,53,18
MII181115,58,0,76
MII181125,545,1,670
MII181346,26,0,38
MII181358,456,0,462
MII181371,323,8,443
MII181377,500,16,950
MII181385,170,0,165
MII181392,255,1,361
MII181401,95,0,97
MII181407,422,0,572
MII181417,149,1,145
MII181424,1117,22,1455
MII181434,447,150,394
MII181440,32,0,39
MII181625,555,58,532
MII181636,422,4,366
MII181645,138,3,235
MII181661,150,4,240
MII181672,95,0,175
MII181678,294,42,436
MII181681,108,0,173
MII181691,40,0,55
MII181703,53,0,103
MII181820,197,50,96
MII181839,412,75,501
MII181847,112,0,97
MII181863,159,2,259
MII181870,53,0,77
MII181880,230,42,302
MII181891,335,17,605
MII181908,406,31,385
MII181918,276,28,384
MII181924,242,14,355
MII181934,440,35,716
MII182339,292,61,292
MII182440,53,2,72
MII182910,515,6,673
MII182919,197,18,277
