n,data_inserimento,partito,valore
1,2024-09-11,Partito Democratico,23.7
1,2024-09-11,Forza Italia,9.0
1,2024-09-11,Fratelli d'Italia,29.3
1,2024-09-11,Alleanza Verdi Sinistra,7.0
1,2024-09-11,Lega,8.5
1,2024-09-11,Movimento 5 Stelle,10.1
1,2024-09-11,+Europa,1.7
1,2024-09-11,Azione,3.2
1,2024-09-11,Italia Viva,2.1
1,2024-09-11,Altri,1.0
2,2024-09-10,Partito Democratico,24.0
2,2024-09-10,Forza Italia,10.7
2,2024-09-10,Fratelli d'Italia,28.9
2,2024-09-10,Alleanza Verdi Sinistra,6.6
2,2024-09-10,Lega,8.3
2,2024-09-10,Movimento 5 Stelle,10.6
2,2024-09-10,+Europa,1.9
2,2024-09-10,Azione,2.9
2,2024-09-10,Italia Viva,2.0
2,2024-09-10,Altri,4.1
3,2024-09-10,Partito Democratico,22.5
3,2024-09-10,Forza Italia,8.5
3,2024-09-10,Fratelli d'Italia,30.2
3,2024-09-10,Alleanza Verdi Sinistra,7.2
3,2024-09-10,Lega,8.3
3,2024-09-10,Movimento 5 Stelle,11.5
3,2024-09-10,+Europa,1.7
3,2024-09-10,Azione,3.2
3,2024-09-10,Italia Viva,2.6
3,2024-09-10,Altri,4.3
4,2024-09-09,Partito Democratico,23.8
4,2024-09-09,Forza Italia,10.7
4,2024-09-09,Fratelli d'Italia,28.9
4,2024-09-09,Alleanza Verdi Sinistra,6.5
4,2024-09-09,Lega,8.2
4,2024-09-09,Movimento 5 Stelle,10.5
4,2024-09-09,+Europa,2.0
4,2024-09-09,Azione,2.9
4,2024-09-09,Italia Viva,2.0
4,2024-09-09,Altri,4.5
5,2024-09-03,Partito Democratico,22.3
5,2024-09-03,Forza Italia,8.4
5,2024-09-03,Fratelli d'Italia,30.3
5,2024-09-03,Alleanza Verdi Sinistra,6.9
5,2024-09-03,Lega,8.5
5,2024-09-03,Movimento 5 Stelle,11.6
5,2024-09-03,+Europa,1.9
5,2024-09-03,Azione,3.2
5,2024-09-03,Italia Viva,2.3
