Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SIPROIMI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,5,66.212,23.981,90.198,cruscotto_statistico_giornaliero_15-01-2020_0-accoglienza.csv
Lombardia,,10.472,2.088,12.560,cruscotto_statistico_giornaliero_15-01-2020_0-accoglienza.csv
Emilia-Romagna,,6.971,2.303,9.274,cruscotto_statistico_giornaliero_15-01-2020_0-accoglienza.csv
Piemonte,,6.660,1.716,8.376,cruscotto_statistico_giornaliero_15-01-2020_0-accoglienza.csv
Lazio,,5.698,2.535,8.233,cruscotto_statistico_giornaliero_15-01-2020_0-accoglienza.csv
Campania,,5.252,1.784,7.036,cruscotto_statistico_giornaliero_15-01-2020_0-accoglienza.csv
Sicilia,5,3.309,2.852,6.166,cruscotto_statistico_giornaliero_15-01-2020_0-accoglienza.csv
Toscana,,4.749,1.288,6.037,cruscotto_statistico_giornaliero_15-01-2020_0-accoglienza.csv
Veneto,,5.336,638,5.974,cruscotto_statistico_giornaliero_15-01-2020_0-accoglienza.csv
Puglia,0,2.309,2.376,4.685,cruscotto_statistico_giornaliero_15-01-2020_0-accoglienza.csv
Calabria,,2.028,1.925,3.953,cruscotto_statistico_giornaliero_15-01-2020_0-accoglienza.csv
Liguria,,2.921,706,3.627,cruscotto_statistico_giornaliero_15-01-2020_0-accoglienza.csv
Friuli-Venezia Giulia,,2.376,302,2.678,cruscotto_statistico_giornaliero_15-01-2020_0-accoglienza.csv
Marche,,1.472,906,2.378,cruscotto_statistico_giornaliero_15-01-2020_0-accoglienza.csv
Trentino-Alto Adige,,1.658,364,2.022,cruscotto_statistico_giornaliero_15-01-2020_0-accoglienza.csv
Abruzzo,,1.197,449,1.646,cruscotto_statistico_giornaliero_15-01-2020_0-accoglienza.csv
Basilicata,,983,522,1.505,cruscotto_statistico_giornaliero_15-01-2020_0-accoglienza.csv
Umbria,,1.138,332,1.470,cruscotto_statistico_giornaliero_15-01-2020_0-accoglienza.csv
Sardegna,,1.138,222,1.360,cruscotto_statistico_giornaliero_15-01-2020_0-accoglienza.csv
Molise,,427,649,1.076,cruscotto_statistico_giornaliero_15-01-2020_0-accoglienza.csv
Valle d'Aosta,,118,24,142,cruscotto_statistico_giornaliero_15-01-2020_0-accoglienza.csv
