Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SIPROIMI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,391,73.106,24.577,98.074,cruscotto_statistico_giornaliero_15-10-2019_0-accoglienza.csv
Lombardia,,11.556,2.108,13.664,cruscotto_statistico_giornaliero_15-10-2019_0-accoglienza.csv
Emilia-Romagna,,7.444,2.216,9.660,cruscotto_statistico_giornaliero_15-10-2019_0-accoglienza.csv
Lazio,,6.233,2.811,9.044,cruscotto_statistico_giornaliero_15-10-2019_0-accoglienza.csv
Piemonte,,7.134,1.748,8.882,cruscotto_statistico_giornaliero_15-10-2019_0-accoglienza.csv
Campania,,6.063,1.812,7.875,cruscotto_statistico_giornaliero_15-10-2019_0-accoglienza.csv
Sicilia,391,3.643,3.051,7.085,cruscotto_statistico_giornaliero_15-10-2019_0-accoglienza.csv
Toscana,,5.586,1.303,6.889,cruscotto_statistico_giornaliero_15-10-2019_0-accoglienza.csv
Veneto,,5.942,681,6.623,cruscotto_statistico_giornaliero_15-10-2019_0-accoglienza.csv
Puglia,0,2.246,2.260,4.506,cruscotto_statistico_giornaliero_15-10-2019_0-accoglienza.csv
Calabria,,2.067,2.000,4.067,cruscotto_statistico_giornaliero_15-10-2019_0-accoglienza.csv
Liguria,,3.174,715,3.889,cruscotto_statistico_giornaliero_15-10-2019_0-accoglienza.csv
Friuli-Venezia Giulia,,2.556,353,2.909,cruscotto_statistico_giornaliero_15-10-2019_0-accoglienza.csv
Marche,,1.717,914,2.631,cruscotto_statistico_giornaliero_15-10-2019_0-accoglienza.csv
Trentino-Alto Adige,,1.877,362,2.239,cruscotto_statistico_giornaliero_15-10-2019_0-accoglienza.csv
Abruzzo,,1.318,484,1.802,cruscotto_statistico_giornaliero_15-10-2019_0-accoglienza.csv
Umbria,,1.315,373,1.688,cruscotto_statistico_giornaliero_15-10-2019_0-accoglienza.csv
Sardegna,,1.385,230,1.615,cruscotto_statistico_giornaliero_15-10-2019_0-accoglienza.csv
Basilicata,,1.087,499,1.586,cruscotto_statistico_giornaliero_15-10-2019_0-accoglienza.csv
Molise,,610,632,1.242,cruscotto_statistico_giornaliero_15-10-2019_0-accoglienza.csv
Valle d'Aosta,,153,25,178,cruscotto_statistico_giornaliero_15-10-2019_0-accoglienza.csv
