Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SIPROIMI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,899,54.956,25.051,80.906,cruscotto_statistico_giornaliero_15-11-2020-accoglienza.csv
Lombardia,,8.539,1.992,10.531,cruscotto_statistico_giornaliero_15-11-2020-accoglienza.csv
Emilia-Romagna,,6.315,2.241,8.556,cruscotto_statistico_giornaliero_15-11-2020-accoglienza.csv
Lazio,,5.263,2.098,7.361,cruscotto_statistico_giornaliero_15-11-2020-accoglienza.csv
Piemonte,,5.611,1.703,7.314,cruscotto_statistico_giornaliero_15-11-2020-accoglienza.csv
Sicilia,824,2.781,3.404,7.009,cruscotto_statistico_giornaliero_15-11-2020-accoglienza.csv
Campania,,3.886,1.938,5.824,cruscotto_statistico_giornaliero_15-11-2020-accoglienza.csv
Toscana,,3.857,1.271,5.128,cruscotto_statistico_giornaliero_15-11-2020-accoglienza.csv
Veneto,,4.156,630,4.786,cruscotto_statistico_giornaliero_15-11-2020-accoglienza.csv
Puglia,75,1.297,2.806,4.178,cruscotto_statistico_giornaliero_15-11-2020-accoglienza.csv
Calabria,,1.592,2.293,3.885,cruscotto_statistico_giornaliero_15-11-2020-accoglienza.csv
Liguria,,2.527,668,3.195,cruscotto_statistico_giornaliero_15-11-2020-accoglienza.csv
Friuli-Venezia Giulia,,2.547,310,2.857,cruscotto_statistico_giornaliero_15-11-2020-accoglienza.csv
Marche,,1.208,987,2.195,cruscotto_statistico_giornaliero_15-11-2020-accoglienza.csv
Abruzzo,,1.123,505,1.628,cruscotto_statistico_giornaliero_15-11-2020-accoglienza.csv
Trentino-Alto Adige,,1.183,342,1.525,cruscotto_statistico_giornaliero_15-11-2020-accoglienza.csv
Basilicata,,815,572,1.387,cruscotto_statistico_giornaliero_15-11-2020-accoglienza.csv
Umbria,,945,325,1.270,cruscotto_statistico_giornaliero_15-11-2020-accoglienza.csv
Sardegna,,1.031,197,1.228,cruscotto_statistico_giornaliero_15-11-2020-accoglienza.csv
Molise,,211,753,964,cruscotto_statistico_giornaliero_15-11-2020-accoglienza.csv
Valle d'Aosta,,69,16,85,cruscotto_statistico_giornaliero_15-11-2020-accoglienza.csv
