Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,388,100.476,37.803,139.156,cruscotto_statistico_giornaliero_15-12-2024_0-accoglienza.csv
Lombardia,,15.026,3.177,18.203,cruscotto_statistico_giornaliero_15-12-2024_0-accoglienza.csv
Lazio,,10.467,2.588,13.055,cruscotto_statistico_giornaliero_15-12-2024_0-accoglienza.csv
Emilia-Romagna,,8.932,3.599,12.531,cruscotto_statistico_giornaliero_15-12-2024_0-accoglienza.csv
Piemonte,,9.405,2.451,11.856,cruscotto_statistico_giornaliero_15-12-2024_0-accoglienza.csv
Campania,,6.807,3.998,10.805,cruscotto_statistico_giornaliero_15-12-2024_0-accoglienza.csv
Sicilia,347,3.472,5.973,10.264,cruscotto_statistico_giornaliero_15-12-2024_0-accoglienza.csv
Toscana,,8.281,1.868,10.149,cruscotto_statistico_giornaliero_15-12-2024_0-accoglienza.csv
Veneto,,7.852,790,8.642,cruscotto_statistico_giornaliero_15-12-2024_0-accoglienza.csv
Puglia,0,3.669,3.572,7.241,cruscotto_statistico_giornaliero_15-12-2024_0-accoglienza.csv
Calabria,41,3.628,3.344,7.030,cruscotto_statistico_giornaliero_15-12-2024_0-accoglienza.csv
Liguria,,4.539,1.046,5.585,cruscotto_statistico_giornaliero_15-12-2024_0-accoglienza.csv
Friuli-Venezia Giulia,,4.077,223,4.300,cruscotto_statistico_giornaliero_15-12-2024_0-accoglienza.csv
Marche,,2.749,1.494,4.243,cruscotto_statistico_giornaliero_15-12-2024_0-accoglienza.csv
Abruzzo,,3.265,924,4.189,cruscotto_statistico_giornaliero_15-12-2024_0-accoglienza.csv
Umbria,,2.241,469,2.710,cruscotto_statistico_giornaliero_15-12-2024_0-accoglienza.csv
Basilicata,,1.648,850,2.498,cruscotto_statistico_giornaliero_15-12-2024_0-accoglienza.csv
Sardegna,,2.047,287,2.334,cruscotto_statistico_giornaliero_15-12-2024_0-accoglienza.csv
Trentino-Alto Adige,,1.508,184,1.692,cruscotto_statistico_giornaliero_15-12-2024_0-accoglienza.csv
Molise,,755,929,1.684,cruscotto_statistico_giornaliero_15-12-2024_0-accoglienza.csv
Valle d'Aosta,,108,37,145,cruscotto_statistico_giornaliero_15-12-2024_0-accoglienza.csv
