Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,0,98.596,38.207,136.803,cruscotto_statistico_giornaliero_31-03-2025-accoglienza.csv
Lombardia,,14.797,3.229,18.026,cruscotto_statistico_giornaliero_31-03-2025-accoglienza.csv
Lazio,,10.498,2.549,13.047,cruscotto_statistico_giornaliero_31-03-2025-accoglienza.csv
Emilia-Romagna,,8.803,3.671,12.474,cruscotto_statistico_giornaliero_31-03-2025-accoglienza.csv
Piemonte,,8.920,2.447,11.367,cruscotto_statistico_giornaliero_31-03-2025-accoglienza.csv
Campania,,6.642,4.019,10.661,cruscotto_statistico_giornaliero_31-03-2025-accoglienza.csv
Toscana,,8.277,1.897,10.174,cruscotto_statistico_giornaliero_31-03-2025-accoglienza.csv
Sicilia,0,3.735,6.063,9.798,cruscotto_statistico_giornaliero_31-03-2025-accoglienza.csv
Veneto,,7.485,821,8.306,cruscotto_statistico_giornaliero_31-03-2025-accoglienza.csv
Puglia,0,3.479,3.660,7.139,cruscotto_statistico_giornaliero_31-03-2025-accoglienza.csv
Calabria,0,3.694,3.327,7.021,cruscotto_statistico_giornaliero_31-03-2025-accoglienza.csv
Liguria,,4.506,1.037,5.543,cruscotto_statistico_giornaliero_31-03-2025-accoglienza.csv
Marche,,2.510,1.530,4.040,cruscotto_statistico_giornaliero_31-03-2025-accoglienza.csv
Abruzzo,,3.097,922,4.019,cruscotto_statistico_giornaliero_31-03-2025-accoglienza.csv
Friuli-Venezia Giulia,,3.750,234,3.984,cruscotto_statistico_giornaliero_31-03-2025-accoglienza.csv
Umbria,,2.286,469,2.755,cruscotto_statistico_giornaliero_31-03-2025-accoglienza.csv
Basilicata,,1.605,887,2.492,cruscotto_statistico_giornaliero_31-03-2025-accoglienza.csv
Sardegna,,2.176,295,2.471,cruscotto_statistico_giornaliero_31-03-2025-accoglienza.csv
Molise,,768,929,1.697,cruscotto_statistico_giornaliero_31-03-2025-accoglienza.csv
Trentino-Alto Adige,,1.462,189,1.651,cruscotto_statistico_giornaliero_31-03-2025-accoglienza.csv
Valle d'Aosta,,106,32,138,cruscotto_statistico_giornaliero_31-03-2025-accoglienza.csv
