Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,225,101.795,35.341,137.361,cruscotto_statistico_giornaliero_31.03.2024-accoglienza.csv
Lombardia,,14.635,3.053,17.688,cruscotto_statistico_giornaliero_31.03.2024-accoglienza.csv
Emilia-Romagna,,9.613,3.335,12.948,cruscotto_statistico_giornaliero_31.03.2024-accoglienza.csv
Lazio,,10.139,2.478,12.617,cruscotto_statistico_giornaliero_31.03.2024-accoglienza.csv
Piemonte,,9.615,2.302,11.917,cruscotto_statistico_giornaliero_31.03.2024-accoglienza.csv
Campania,,6.995,4.008,11.003,cruscotto_statistico_giornaliero_31.03.2024-accoglienza.csv
Toscana,,8.108,1.793,9.901,cruscotto_statistico_giornaliero_31.03.2024-accoglienza.csv
Sicilia,225,3.752,5.332,9.309,cruscotto_statistico_giornaliero_31.03.2024-accoglienza.csv
Veneto,,8.206,775,8.981,cruscotto_statistico_giornaliero_31.03.2024-accoglienza.csv
Puglia,0,3.775,3.185,6.960,cruscotto_statistico_giornaliero_31.03.2024-accoglienza.csv
Calabria,,3.287,2.979,6.266,cruscotto_statistico_giornaliero_31.03.2024-accoglienza.csv
Liguria,,4.930,1.042,5.972,cruscotto_statistico_giornaliero_31.03.2024-accoglienza.csv
Marche,,2.856,1.403,4.259,cruscotto_statistico_giornaliero_31.03.2024-accoglienza.csv
Friuli-Venezia Giulia,,3.839,226,4.065,cruscotto_statistico_giornaliero_31.03.2024-accoglienza.csv
Abruzzo,,3.188,872,4.060,cruscotto_statistico_giornaliero_31.03.2024-accoglienza.csv
Sardegna,,2.454,261,2.715,cruscotto_statistico_giornaliero_31.03.2024-accoglienza.csv
Basilicata,,1.836,792,2.628,cruscotto_statistico_giornaliero_31.03.2024-accoglienza.csv
Umbria,,2.045,444,2.489,cruscotto_statistico_giornaliero_31.03.2024-accoglienza.csv
Molise,,908,835,1.743,cruscotto_statistico_giornaliero_31.03.2024-accoglienza.csv
Trentino-Alto Adige,,1.509,195,1.704,cruscotto_statistico_giornaliero_31.03.2024-accoglienza.csv
Valle d'Aosta,,105,31,136,cruscotto_statistico_giornaliero_31.03.2024-accoglienza.csv
